ds,predicted_total_posts,predicted_total_posts_lower,predicted_total_posts_upper,actual_total_posts,predicted_vague_ratio,predicted_vague_ratio_lower,predicted_vague_ratio_upper,actual_vague_ratio,total_posts_difference,vague_ratio_difference,period
2020-01-02,154.69932139996615,141.09254331849542,169.43070310718332,161,0.15440087815067272,0.11585769260699323,0.19371949630165475,0.16770186335403728,6.300678600033848,0.013300985203364563,Before NSL
2020-01-03,153.89391641723762,140.2955530052374,168.55370913126487,147,0.13643724039644636,0.10047437898747556,0.17378284745549238,0.14965986394557823,-6.8939164172376195,0.013222623549131868,Before NSL
2020-01-04,152.41801444894844,137.8873493751494,165.90765891728714,154,0.1366095808958101,0.09684489256658149,0.17675437377365416,0.14935064935064934,1.5819855510515595,0.012741068454839244,Before NSL
2020-01-05,144.5148680702574,130.85644264631617,158.1085587537843,166,0.14762503917772127,0.10817048033847122,0.18655952940524678,0.13855421686746988,21.485131929742607,-0.009070822310251386,Before NSL
2020-01-06,140.06165030891458,125.81534524708364,154.3015605408338,133,0.15314311576557996,0.11743690183053153,0.1914016867224274,0.10526315789473684,-7.0616503089145795,-0.04787995787084312,Before NSL
2020-01-07,143.6103050507403,129.12289395447613,156.01502704828596,130,0.1575028211787557,0.12007219350780539,0.1950126598169396,0.13076923076923078,-13.610305050740294,-0.026733590409524915,Before NSL
2020-01-08,139.828286769231,125.68600302641387,152.9312727077908,138,0.16268460395416123,0.1233541816535917,0.1991435490075352,0.1956521739130435,-1.8282867692309992,0.032967569958882254,Before NSL
2020-01-09,141.62223323569248,127.19542086656654,155.62041231962152,140,0.17847229718991095,0.1404935883551847,0.21740317564187592,0.18571428571428572,-1.6222332356924767,0.007241988524374771,Before NSL
2020-01-10,142.09085435854882,126.8868534014838,155.56092109864557,141,0.16094301825034707,0.12229826918471352,0.20064469716945968,0.15602836879432624,-1.0908543585488246,-0.004914649456020825,Before NSL
2020-01-11,141.97264082316985,128.89027035487584,155.9911384664473,140,0.1610484876701184,0.1220984839768331,0.1957688803283393,0.12857142857142856,-1.9726408231698542,-0.03247705909868984,Before NSL
2020-01-12,135.48179509875715,122.23781198930243,149.50970067319906,140,0.17150835325040753,0.13201172856771717,0.209640764005834,0.17857142857142858,4.518204901242854,0.007063075321021045,Before NSL
2020-01-13,132.46685468780694,119.90543525833733,145.62882839690045,145,0.1760057385851736,0.13786932534866897,0.2134583877834627,0.19310344827586207,12.533145312193056,0.017097709690688467,Before NSL
2020-01-14,137.45216701692735,124.39995247872166,151.49502423014363,123,0.17891366552474175,0.14014196820628397,0.21711236379869306,0.22764227642276422,-14.452167016927348,0.04872861089802247,Before NSL
2020-01-15,135.07914165489169,121.8862187035937,148.76924737287945,126,0.18225600815698978,0.14275752942531122,0.2222946640615248,0.16666666666666666,-9.079141654891686,-0.015589341490323122,Before NSL
2020-01-16,138.23046081707093,123.97236375880142,150.6669097724618,134,0.19586824544178263,0.156194550754636,0.23270466720877483,0.2462686567164179,-4.230460817070934,0.050400411274635265,Before NSL
2020-01-17,139.98337322518523,126.39373854208644,154.4747388118038,132,0.17588597999076389,0.1348375804710771,0.21343243271394077,0.11363636363636363,-7.9833732251852325,-0.06224961635440025,Before NSL
2020-01-18,141.0577422920156,127.81480528799256,154.40828284386288,151,0.17332472648672087,0.13606858440337333,0.2115139777443468,0.13245033112582782,9.942257707984396,-0.040874395360893045,Before NSL
2020-01-19,135.65223168536684,121.22116813336649,150.22739429284113,150,0.18097159644327468,0.14130837096818344,0.22071352164906854,0.2,14.347768314633157,0.019028403556725332,Before NSL
2020-01-20,133.6030958808522,119.20175857595946,147.2406455299888,138,0.18257914164357752,0.14502997121398728,0.2229232693720771,0.18840579710144928,4.396904119147791,0.005826655457871754,Before NSL
2020-01-21,139.42572037225682,125.38655444569166,153.21399727809492,131,0.18259004999199613,0.14414553745835987,0.21945638186814193,0.16030534351145037,-8.42572037225682,-0.022284706480545757,Before NSL
